timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1519580891671,5425,HTTP Request_SignupCheck,200,,signuptest 1-25,text,true,,640,586,39,102,5424,0,30
1519580892373,4724,HTTP Request_SignupCheck,200,,signuptest 1-84,text,true,,640,560,38,101,4719,0,4
1519580892250,4850,HTTP Request_SignupCheck,200,,signuptest 1-73,text,true,,640,557,37,100,4850,0,0
1519580891937,5166,HTTP Request_SignupCheck,200,,signuptest 1-48,text,true,,640,593,36,99,5166,0,1
1519580892029,5080,HTTP Request_SignupCheck,200,,signuptest 1-56,text,true,,640,552,35,98,5061,0,0
1519580891648,5468,HTTP Request_SignupCheck,200,,signuptest 1-22,text,true,,640,602,34,97,5448,0,55
1519580892500,4619,HTTP Request_SignupCheck,200,,signuptest 1-94,text,true,,640,600,33,96,4604,0,0
1519580891857,5264,HTTP Request_SignupCheck,200,,signuptest 1-40,text,true,,640,554,32,95,5229,0,1
1519580892249,4875,HTTP Request_SignupCheck,200,,signuptest 1-72,text,true,,640,601,31,94,4875,0,0
1519580892425,4704,HTTP Request_SignupCheck,200,,signuptest 1-88,text,true,,4198,561,30,93,4659,0,0
1519580892399,4731,HTTP Request_SignupCheck,200,,signuptest 1-86,text,true,,640,562,29,92,4715,0,1
1519580891917,5280,HTTP Request_SignupCheck,200,,signuptest 1-46,text,true,,640,572,28,91,5280,0,1
1519580892141,5065,HTTP Request_Login check,200,,login Test 2-43,text,true,,636,506,63,90,5065,0,1
1519580892449,4788,HTTP Request_SignupCheck,200,,signuptest 1-90,text,true,,640,586,27,89,4788,0,1
1519580891833,5414,HTTP Request_SignupCheck,200,,signuptest 1-37,text,true,,640,564,26,88,5407,0,1
1519580892187,5122,HTTP Request_SignupCheck,200,,signuptest 1-68,text,true,,640,598,25,87,5108,0,0
1519580891953,5532,HTTP Request_Login check,200,,login Test 2-28,text,true,,651,488,62,86,5351,0,1
1519580892029,5456,HTTP Request_SignupCheck,200,,signuptest 1-53,text,true,,640,587,24,85,5244,0,0
1519580892410,5088,HTTP Request_SignupCheck,200,,signuptest 1-87,text,true,,640,587,23,84,5088,0,0
1519580892291,5223,HTTP Request_SignupCheck,200,,signuptest 1-77,text,true,,640,559,22,83,5210,0,10
1519580892323,5191,HTTP Request_SignupCheck,200,,signuptest 1-80,text,true,,640,601,21,82,5177,0,1
1519580892594,4921,HTTP Request_Login check,200,,login Test 2-75,text,true,,651,471,61,81,4919,0,0
1519580892545,5517,HTTP Request_SignupCheck,200,,signuptest 1-98,text,true,,640,599,20,80,5517,0,0
1519580892508,5556,HTTP Request_SignupCheck,200,,signuptest 1-95,text,true,,640,604,19,79,5556,0,0
1519580892847,5230,HTTP Request_Login check,200,,login Test 2-92,text,true,,651,479,60,78,5212,0,1
1519580892799,5930,HTTP Request_Login check,200,,login Test 2-89,text,true,,651,493,59,77,5930,0,6
1519580892245,6490,HTTP Request_Login check,200,,login Test 2-52,text,true,,651,475,58,76,6489,0,1
1519580892714,6026,HTTP Request_Login check,200,,login Test 2-83,text,true,,651,485,57,75,6026,0,1
1519580891868,6918,HTTP Request_Login check,200,,login Test 2-21,text,true,,651,481,56,74,6918,0,1
1519580892533,6379,HTTP Request_Login check,200,,login Test 2-72,text,true,,651,500,55,73,6379,0,0
1519580892441,6474,HTTP Request_Login check,200,,login Test 2-65,text,true,,651,479,54,72,6473,0,1
1519580892703,6227,HTTP Request_Login check,200,,login Test 2-82,text,true,,651,474,53,71,6220,0,0
1519580891880,7116,HTTP Request_Login check,200,,login Test 2-22,text,true,,651,475,52,70,7116,0,1
1519580891812,7239,HTTP Request_Login check,200,,login Test 2-19,text,true,,651,511,51,69,7239,0,1
1519580892767,6285,HTTP Request_Login check,200,,login Test 2-87,text,true,,651,476,50,68,6285,0,0
1519580892409,6646,HTTP Request_Login check,200,,login Test 2-63,text,true,,651,502,49,67,6646,0,1
1519580891965,7094,HTTP Request_Login check,200,,login Test 2-29,text,true,,651,510,48,66,7094,0,1
1519580892022,7041,HTTP Request_SignupCheck,200,,signuptest 1-55,text,true,,640,565,18,65,7041,0,0
1519580892654,6415,HTTP Request_Login check,200,,login Test 2-79,text,true,,651,490,47,64,6404,0,0
1519580892873,6199,HTTP Request_Login check,200,,login Test 2-94,text,true,,651,507,46,63,6184,0,1
1519580892569,6505,HTTP Request_SignupCheck,200,,signuptest 1-100,text,true,,640,553,17,62,6505,0,2
1519580892166,6910,HTTP Request_SignupCheck,200,,signuptest 1-66,text,true,,640,588,16,61,6910,0,0
1519580892088,6991,HTTP Request_SignupCheck,200,,signuptest 1-61,text,true,,640,604,15,60,6991,0,1
1519580892461,6622,HTTP Request_SignupCheck,200,,signuptest 1-91,text,true,,640,582,14,59,6601,0,1
1519580891986,7100,HTTP Request_SignupCheck,200,,signuptest 1-52,text,true,,640,583,13,58,7100,0,44
1519580892221,6868,HTTP Request_SignupCheck,200,,signuptest 1-71,text,true,,640,600,12,57,6868,0,0
1519580891905,7187,HTTP Request_SignupCheck,200,,signuptest 1-45,text,true,,640,557,11,56,7187,0,1
